0	99.307
1	100.422
2	100.467
3	99.0283
4	100.558
5	99.7024
6	99.8944
7	99.1059
8	100.198
9	99.1873
10	99.2459
11	100.808
12	99.5537
13	100.422
14	99.9801
15	100.769
16	99.3918
17	100.173
18	99.7707
19	100.749
20	99.1166
21	100.304
22	100.144
23	100.311
24	100.708
25	100.957
26	99.4511
27	100.756
28	100.192
29	100.441
30	99.1031
31	99.6758
32	99.943
33	99.8547
34	100.263
35	99.4133
36	100.666
37	100.348
38	100.814
39	100.991
40	100.115
41	100.186
42	99.664
43	100.098
44	99.5641
45	100.274
46	100.448
47	99.1422
48	99.0983
49	100.957
50	99.7842
51	100.107
52	100.457
53	100.745
54	99.6991
55	99.8204
56	99.1827
57	99.933
58	99.5891
59	100.608
60	99.8602
61	99.5842
62	99.7961
63	99.8315
64	100.903
65	99.0537
66	99.3393
67	99.4273
68	100.729
69	100.229
70	100.323
71	100.92
72	100.898
73	100.114
74	99.8122
75	100.743
76	99.2563
77	99.4341
78	99.2354
79	99.7728
80	99.7766
81	99.0535
82	100.145
83	99.601
84	100.493
85	100.283
86	100.868
87	99.5872
88	100.277
89	100.211
90	100.255
91	99.2327
92	99.4103
93	100.611
94	99.4226
95	99.6963
96	99.4468
97	99.3705
98	99.7894
99	99.3796
